STA	DIST	AmpRatio	dT
BB02	12,224	0,16044	476,095
NS10	12,241	0,28916	477,8
CB27	12,253	0,2747	476,255
EW03	12,276	0,31994	476,655
JSH	12,302	0,14498	475,405
BB16	12,327	0,17683	476,57
EW05	12,337	0,2792	476,61
NS12	12,400	0,16924	476,505
CB28	12,424	0,3064	476,18
KHYH	12,441	0,17462	474,865
EW06	12,447	0,15808	476,505
IMG	12,467	0,23531	475,12
BB11	12,469	0,09824	476,405
NS13	12,501	0,24239	476,415
BB01	12,521	0,11013	476,735
JKB	12,531	0,15709	475,21
BB03	12,566	0,17369	477,17
JYM2	12,601	0,12871	475,02
NS14	12,622	0,15278	476,845
EW08	12,636	0,21634	476,135
CB2A	12,676	0,14793	475,665
OON	12,677	0,12121	474,925
KUMH	12,714	0,36369	474,525
NS16	12,759	0,10939	476,43
BB12	12,810	0,0637	476,085
CB2B	12,828	0,25713	475,64
HD3	12,837	0,13391	474,86
BB15	12,838	0,09976	476,65
OOMH	12,861	0,13352	474,71
BB24	12,929	0,10272	475,96
JOT	12,959	0,09858	474,655
KIW	12,960	0,0604	474,675
KMSK	12,963	0,30074	474,31
KKJ	12,964	0,15054	473,675
CB2C	12,985	0,1767	475,4
SAIH	12,987	0,05201	475,425
CP06	12,988	0,2024	475,565
SRUH	12,993	0,08977	474,61
OKS	13,002	0,08976	474,21
JOSM	13,003	0,0723	474,57
BB13	13,062	0,24184	475,92
CP07	13,067	0,26499	476,005
JSR	13,076	0,06947	474,975
NS18	13,079	0,17052	476,15
TMR	13,081	0,09916	474,625
KUCH	13,084	0,06958	474,535
RKSH	13,175	0,07917	474,985
BB14	13,193	0,29135	475,075
GAM	13,273	0,08587	474,39
SRKM	13,273	0,10634	474,69
NHJH	13,370	0,1286	474,005
MMA	13,395	0,10814	474,21
JTM	13,470	0,18329	474,195
JSI2	13,482	0,05716	473,57
TWEH	13,590	0,09769	474,845
HSK	13,618	0,03126	474,145
KJNH	13,650	0,08707	473,12
TWWH	13,652	0,09419	473,945
JANG	13,675	0,04425	473,46
SHGH	13,720	0,0793	471,005
KRMH	13,721	0,04717	473,845
KRIH	13,749	0,09458	474,755
AJSH	13,750	0,14044	473,74
PLCA	13,801	0,0747	474,295
PLCA	13,801	0,08167	474,545
KOSH	13,817	0,05797	473,685
NHEH	13,829	0,16206	473,875
KJSH	13,838	0,04985	474,33
CP04	13,867	0,18489	474,595
KHEH	13,876	0,05166	473,435
FKUH	13,876	0,12972	474,45
FD2	13,885	0,11669	473,105
TTKH	13,895	0,23959	474,09
OWNH	13,898	0,06657	473,55
JTH	13,947	0,10907	474,17
NYAH	13,949	0,0928	472,56
IHEH	14,022	0,12618	473,21
JIW	14,038	0,09754	474,31
FKU	14,040	0,17724	473,095
ODTH	14,049	0,02846	473,05
ASRH	14,055	0,1997	473,445
TROH	14,081	0,07824	473,48
JKZ	14,086	0,2031	473,565
IWZH	14,113	0,13316	474,085
TSRH	14,116	0,0729	473,36
JAH	14,152	0,048	473,305
IWS	14,156	0,16728	473,735
FSTH	14,163	0,09132	472,665
KZNH	14,175	0,12993	472,745
TMYH	14,184	0,09246	474,005
CP12	14,189	0,11413	474,22
MY3	14,224	0,08237	473,32
KANH	14,273	0,06935	473,86
CHUM	14,275	0,10679	474,25
MIYJ	14,289	0,08118	473,37
PLLB	14,303	0,07228	475,36
CB34	14,310	0,30336	474,135
YMDH	14,317	0,08165	474,04
CP05	14,320	0,123	473,69
FUT	14,345	0,11617	472,545
ANIH	14,392	0,03909	472,605
KASH	14,410	0,05115	474,235
CP11	14,443	0,24055	474,265
YHBH	14,471	0,11454	473,145
NSNH	14,476	0,06544	472,595
SZKH	14,497	0,13183	473,765
GJOH	14,519	0,12579	471,885
PLTM	14,522	0,17674	473,925
KMIH	14,534	0,05813	473,825
PLSM	14,536	0,19316	473,945
PL03	14,542	0,13565	473,755
JOM	14,557	0,08311	474,11
PLQU	14,595	0,15364	473,14
NSSH	14,612	0,06687	472,955
HMNH	14,645	0,15946	472,76
KWAH	14,650	0,08122	472,86
TOUH	14,652	0,04288	473,3
LVC	14,652	0,1146	472,895
OGAH	14,658	0,2575	473,42
CB44	14,679	0,18796	473,905
NSEH	14,692	0,07555	472,81
JOG2	14,697	0,16701	472,98
PLLA	14,700	0,1419	473,875
SN3	14,704	0,10204	473,53
OGA	14,726	0,17117	472,93
PLMK	14,726	0,24694	473,515
HMSH	14,730	0,11556	472,835
SMTH	14,760	0,0871	473,105
OFUT	14,787	0,05162	472,89
KRS0	14,792	0,06205	471,685
PLRR	14,792	0,10787	473,35
NSBH	14,798	0,11885	473,25
PLLO	14,803	0,11868	473,485
ESA	14,836	0,05942	473,27
RZTH	14,849	0,02604	472,505
PLSE	14,852	0,29519	473,245
CORT	14,871	0,09692	472,77
KGSH	14,872	0,06233	473,04
DIT	14,884	0,02997	472,63
CP14	14,905	0,25371	474,125
KKWH	14,915	0,08611	473,17
KSN	14,928	0,07372	473,12
OMRH	14,952	0,1309	472,705
PLAR	14,978	0,23616	473,685
HNRH	14,997	0,05774	472,425
JMK	15,051	0,0657	472,46
FSWH	15,058	0,08528	472,47
HOJ	15,068	0,22444	472,575
VELA	15,086	0,16266	473,705
IW2H	15,092	0,08779	473,685
TOWH	15,139	0,10563	472,29
COLO	15,157	0,13804	473,855
YJMH	15,162	0,12818	472,075
PACH	15,163	0,19952	474,355
MSRH	15,187	0,09687	472,19
CP17	15,215	0,24195	473,185
CHKH	15,227	0,17985	473,07
OGCH	15,246	0,11908	471,825
LUNA	15,253	0,22348	473,575
ESP01	15,253	0,17345	474,585
WYG	15,275	0,0947	472,265
CP10	15,292	0,17062	473,12
NRKH	15,300	0,06919	472,105
ARRO	15,341	0,13222	473,66
JYK	15,376	0,14954	472,125
RINC	15,377	0,15856	473,41
KAKH	15,379	0,1218	472,075
RCLB	15,384	0,12026	473,33
PAGA	15,390	0,12464	473,615
CP13	15,391	0,24887	472,875
TAJH	15,399	0,1062	471,98
YWTH	15,419	0,24307	472,915
JTB	15,422	0,11231	472,215
TB2	15,422	0,15731	472,245
EN3	15,434	0,14845	472,54
JIO	15,460	0,12079	472,03
MGMH	15,464	0,11598	472,405
